  0%|          | 0/28158 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/home/xinyuzh/anaconda3/envs/meditron/lib/python3.10/site-packages/torch/autograd/graph.py:825: UserWarning: cuDNN SDPA backward got grad_output.strides() != output.strides(), attempting to materialize a grad_output with matching strides... (Triggered internally at ../aten/src/ATen/native/cudnn/MHA.cpp:674.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
                                                      
{'loss': 1.5125, 'grad_norm': 1.18394136428833, 'learning_rate': 1.775568181818182e-07, 'epoch': 0.0}
{'loss': 0.7115, 'grad_norm': 2.078334093093872, 'learning_rate': 1.7578125000000002e-05, 'epoch': 0.07}
{'loss': 0.719, 'grad_norm': 2.100672960281372, 'learning_rate': 1.7755681818181817e-05, 'epoch': 0.07}
{'loss': 0.6604, 'grad_norm': 2.2544126510620117, 'learning_rate': 1.7933238636363636e-05, 'epoch': 0.07}
{'loss': 0.7997, 'grad_norm': 1.9041556119918823, 'learning_rate': 1.8110795454545458e-05, 'epoch': 0.07}
{'loss': 0.7364, 'grad_norm': 1.9177123308181763, 'learning_rate': 1.8288352272727273e-05, 'epoch': 0.07}
{'loss': 0.7949, 'grad_norm': 2.186453342437744, 'learning_rate': 1.8465909090909092e-05, 'epoch': 0.07}
{'loss': 0.7054, 'grad_norm': 2.469409465789795, 'learning_rate': 1.864346590909091e-05, 'epoch': 0.07}
{'loss': 0.7467, 'grad_norm': 2.0654497146606445, 'learning_rate': 1.8821022727272726e-05, 'epoch': 0.08}
{'loss': 0.7951, 'grad_norm': 2.3649556636810303, 'learning_rate': 1.8998579545454544e-05, 'epoch': 0.08}
{'loss': 0.745, 'grad_norm': 2.0784199237823486, 'learning_rate': 1.9176136363636366e-05, 'epoch': 0.08}
{'loss': 0.7105, 'grad_norm': 2.0045084953308105, 'learning_rate': 1.9353693181818182e-05, 'epoch': 0.08}
{'loss': 0.6565, 'grad_norm': 1.9743527173995972, 'learning_rate': 1.953125e-05, 'epoch': 0.08}
{'loss': 0.7142, 'grad_norm': 2.1600050926208496, 'learning_rate': 1.970880681818182e-05, 'epoch': 0.08}
{'loss': 0.6792, 'grad_norm': 1.887754201889038, 'learning_rate': 1.9886363636363638e-05, 'epoch': 0.08}
{'loss': 0.6982, 'grad_norm': 2.283909559249878, 'learning_rate': 2.0063920454545456e-05, 'epoch': 0.08}
{'loss': 0.7349, 'grad_norm': 2.2654342651367188, 'learning_rate': 2.0241477272727275e-05, 'epoch': 0.08}
{'loss': 0.7548, 'grad_norm': 1.8454550504684448, 'learning_rate': 2.0419034090909094e-05, 'epoch': 0.08}
{'loss': 0.7807, 'grad_norm': 2.4224977493286133, 'learning_rate': 2.059659090909091e-05, 'epoch': 0.08}
{'loss': 0.6707, 'grad_norm': 2.108245372772217, 'learning_rate': 2.0774147727272728e-05, 'epoch': 0.08}
{'loss': 0.735, 'grad_norm': 2.5649826526641846, 'learning_rate': 2.0951704545454546e-05, 'epoch': 0.08}
{'loss': 0.7537, 'grad_norm': 1.847092866897583, 'learning_rate': 2.1129261363636365e-05, 'epoch': 0.08}
{'loss': 0.7276, 'grad_norm': 2.3175837993621826, 'learning_rate': 2.1306818181818183e-05, 'epoch': 0.09}
{'loss': 0.7365, 'grad_norm': 2.2130067348480225, 'learning_rate': 2.1484375000000002e-05, 'epoch': 0.09}
{'loss': 0.7253, 'grad_norm': 2.1404998302459717, 'learning_rate': 2.1661931818181817e-05, 'epoch': 0.09}
{'loss': 0.645, 'grad_norm': 2.142258405685425, 'learning_rate': 2.1839488636363636e-05, 'epoch': 0.09}
{'loss': 0.7392, 'grad_norm': 2.9232587814331055, 'learning_rate': 2.2017045454545458e-05, 'epoch': 0.09}
{'loss': 0.695, 'grad_norm': 2.12852144241333, 'learning_rate': 2.2194602272727273e-05, 'epoch': 0.09}
{'loss': 0.7373, 'grad_norm': 2.617845296859741, 'learning_rate': 2.2372159090909092e-05, 'epoch': 0.09}
{'loss': 0.6356, 'grad_norm': 2.29613995552063, 'learning_rate': 2.254971590909091e-05, 'epoch': 0.09}
{'loss': 0.7004, 'grad_norm': 2.6059792041778564, 'learning_rate': 2.272727272727273e-05, 'epoch': 0.09}
{'loss': 0.7241, 'grad_norm': 2.7880611419677734, 'learning_rate': 2.2904829545454545e-05, 'epoch': 0.09}
{'loss': 0.7086, 'grad_norm': 2.48250150680542, 'learning_rate': 2.3082386363636367e-05, 'epoch': 0.09}
{'loss': 0.6668, 'grad_norm': 2.645517349243164, 'learning_rate': 2.3259943181818182e-05, 'epoch': 0.09}
{'loss': 0.6541, 'grad_norm': 1.8962255716323853, 'learning_rate': 2.34375e-05, 'epoch': 0.09}
{'loss': 0.718, 'grad_norm': 2.048280954360962, 'learning_rate': 2.361505681818182e-05, 'epoch': 0.09}
{'loss': 0.6697, 'grad_norm': 3.0763356685638428, 'learning_rate': 2.3792613636363638e-05, 'epoch': 0.1}
{'loss': 0.6847, 'grad_norm': 2.6431238651275635, 'learning_rate': 2.3970170454545456e-05, 'epoch': 0.1}
{'loss': 0.6993, 'grad_norm': 2.0641725063323975, 'learning_rate': 2.4147727272727275e-05, 'epoch': 0.1}
{'loss': 0.6069, 'grad_norm': 2.250032424926758, 'learning_rate': 2.4325284090909094e-05, 'epoch': 0.1}
{'loss': 0.7081, 'grad_norm': 2.461801052093506, 'learning_rate': 2.450284090909091e-05, 'epoch': 0.1}
{'loss': 0.6763, 'grad_norm': 2.1713569164276123, 'learning_rate': 2.4680397727272728e-05, 'epoch': 0.1}
{'loss': 0.6472, 'grad_norm': 2.09431529045105, 'learning_rate': 2.4857954545454546e-05, 'epoch': 0.1}
{'loss': 0.7172, 'grad_norm': 2.3558709621429443, 'learning_rate': 2.5035511363636365e-05, 'epoch': 0.1}
{'loss': 0.6985, 'grad_norm': 2.523621082305908, 'learning_rate': 2.5213068181818184e-05, 'epoch': 0.1}
{'loss': 0.7235, 'grad_norm': 2.118988037109375, 'learning_rate': 2.5390625000000002e-05, 'epoch': 0.1}
{'loss': 0.6187, 'grad_norm': 2.1319267749786377, 'learning_rate': 2.5568181818181817e-05, 'epoch': 0.1}
{'loss': 0.6849, 'grad_norm': 2.430100202560425, 'learning_rate': 2.5745738636363636e-05, 'epoch': 0.1}
{'loss': 0.7207, 'grad_norm': 2.830338478088379, 'learning_rate': 2.5923295454545455e-05, 'epoch': 0.1}
{'loss': 0.7253, 'grad_norm': 2.2965991497039795, 'learning_rate': 2.6100852272727273e-05, 'epoch': 0.1}
{'loss': 0.5604, 'grad_norm': 1.9563615322113037, 'learning_rate': 2.627840909090909e-05, 'epoch': 0.11}
{'loss': 0.6666, 'grad_norm': 2.0628700256347656, 'learning_rate': 2.6455965909090914e-05, 'epoch': 0.11}
{'loss': 0.6791, 'grad_norm': 2.70025634765625, 'learning_rate': 2.663352272727273e-05, 'epoch': 0.11}
{'loss': 0.7155, 'grad_norm': 2.4302592277526855, 'learning_rate': 2.6811079545454548e-05, 'epoch': 0.11}
{'loss': 0.6844, 'grad_norm': 2.1400671005249023, 'learning_rate': 2.6988636363636367e-05, 'epoch': 0.11}
{'loss': 0.6942, 'grad_norm': 2.650566339492798, 'learning_rate': 2.7166193181818185e-05, 'epoch': 0.11}
{'loss': 0.6609, 'grad_norm': 2.6900312900543213, 'learning_rate': 2.734375e-05, 'epoch': 0.11}
{'loss': 0.7366, 'grad_norm': 2.216167449951172, 'learning_rate': 2.752130681818182e-05, 'epoch': 0.11}
{'loss': 0.7216, 'grad_norm': 3.2273576259613037, 'learning_rate': 2.7698863636363638e-05, 'epoch': 0.11}
{'loss': 0.7145, 'grad_norm': 1.8400954008102417, 'learning_rate': 2.7876420454545453e-05, 'epoch': 0.11}
{'loss': 0.5995, 'grad_norm': 2.6186492443084717, 'learning_rate': 2.8053977272727272e-05, 'epoch': 0.11}
{'loss': 0.6696, 'grad_norm': 2.172567129135132, 'learning_rate': 2.823153409090909e-05, 'epoch': 0.11}
{'loss': 0.7027, 'grad_norm': 2.6762478351593018, 'learning_rate': 2.8409090909090912e-05, 'epoch': 0.11}
{'loss': 0.6829, 'grad_norm': 2.524052143096924, 'learning_rate': 2.858664772727273e-05, 'epoch': 0.11}
{'loss': 0.6465, 'grad_norm': 2.483567953109741, 'learning_rate': 2.876420454545455e-05, 'epoch': 0.12}
{'loss': 0.5873, 'grad_norm': 2.4125959873199463, 'learning_rate': 2.8941761363636365e-05, 'epoch': 0.12}
{'loss': 0.6896, 'grad_norm': 1.947540521621704, 'learning_rate': 2.9119318181818184e-05, 'epoch': 0.12}
{'loss': 0.7256, 'grad_norm': 3.137850284576416, 'learning_rate': 2.9296875000000002e-05, 'epoch': 0.12}
{'loss': 0.6391, 'grad_norm': 2.3051187992095947, 'learning_rate': 2.9474431818181818e-05, 'epoch': 0.12}
{'loss': 0.6529, 'grad_norm': 2.8956480026245117, 'learning_rate': 2.9651988636363636e-05, 'epoch': 0.12}
{'loss': 0.6467, 'grad_norm': 2.6399734020233154, 'learning_rate': 2.9829545454545455e-05, 'epoch': 0.12}
{'loss': 0.6413, 'grad_norm': 4.316235542297363, 'learning_rate': 3.0007102272727274e-05, 'epoch': 0.12}
{'loss': 0.6967, 'grad_norm': 2.2942328453063965, 'learning_rate': 3.018465909090909e-05, 'epoch': 0.12}
{'loss': 0.6599, 'grad_norm': 1.885123372077942, 'learning_rate': 3.0362215909090914e-05, 'epoch': 0.12}
{'loss': 0.701, 'grad_norm': 2.249026298522949, 'learning_rate': 3.053977272727273e-05, 'epoch': 0.12}
{'loss': 0.6373, 'grad_norm': 2.281334161758423, 'learning_rate': 3.071732954545455e-05, 'epoch': 0.12}
{'loss': 0.6472, 'grad_norm': 1.8854682445526123, 'learning_rate': 3.089488636363636e-05, 'epoch': 0.12}
{'loss': 0.6983, 'grad_norm': 2.600410223007202, 'learning_rate': 3.1072443181818185e-05, 'epoch': 0.12}
{'loss': 0.6435, 'grad_norm': 2.244935989379883, 'learning_rate': 3.125e-05, 'epoch': 0.13}
{'loss': 0.6588, 'grad_norm': 2.1519393920898438, 'learning_rate': 3.1427556818181816e-05, 'epoch': 0.13}
{'loss': 0.7129, 'grad_norm': 2.42116117477417, 'learning_rate': 3.160511363636364e-05, 'epoch': 0.13}
{'loss': 0.7083, 'grad_norm': 2.7403385639190674, 'learning_rate': 3.178267045454545e-05, 'epoch': 0.13}
{'loss': 0.6775, 'grad_norm': 2.6757774353027344, 'learning_rate': 3.1960227272727275e-05, 'epoch': 0.13}
{'loss': 0.6175, 'grad_norm': 2.816709041595459, 'learning_rate': 3.213778409090909e-05, 'epoch': 0.13}
{'loss': 0.6876, 'grad_norm': 2.0304677486419678, 'learning_rate': 3.231534090909091e-05, 'epoch': 0.13}
{'loss': 0.681, 'grad_norm': 2.3794782161712646, 'learning_rate': 3.249289772727273e-05, 'epoch': 0.13}
{'loss': 0.6155, 'grad_norm': 2.266014575958252, 'learning_rate': 3.267045454545455e-05, 'epoch': 0.13}
{'loss': 0.6175, 'grad_norm': 2.4176383018493652, 'learning_rate': 3.2848011363636365e-05, 'epoch': 0.13}
{'loss': 0.6561, 'grad_norm': 2.2783517837524414, 'learning_rate': 3.302556818181819e-05, 'epoch': 0.13}
{'loss': 0.6759, 'grad_norm': 2.704685688018799, 'learning_rate': 3.3203125e-05, 'epoch': 0.13}
{'loss': 0.6403, 'grad_norm': 2.3648102283477783, 'learning_rate': 3.338068181818182e-05, 'epoch': 0.13}
{'loss': 0.6597, 'grad_norm': 2.148705244064331, 'learning_rate': 3.355823863636364e-05, 'epoch': 0.13}
{'loss': 0.6155, 'grad_norm': 2.161123275756836, 'learning_rate': 3.3735795454545455e-05, 'epoch': 0.13}
{'loss': 0.6988, 'grad_norm': 3.20059871673584, 'learning_rate': 3.391335227272727e-05, 'epoch': 0.14}
{'loss': 0.6545, 'grad_norm': 2.256312131881714, 'learning_rate': 3.409090909090909e-05, 'epoch': 0.14}
{'loss': 0.6216, 'grad_norm': 2.231642246246338, 'learning_rate': 3.4268465909090914e-05, 'epoch': 0.14}
{'loss': 0.6323, 'grad_norm': 2.1260087490081787, 'learning_rate': 3.444602272727273e-05, 'epoch': 0.14}
{'loss': 0.6253, 'grad_norm': 2.5540177822113037, 'learning_rate': 3.462357954545455e-05, 'epoch': 0.14}
{'loss': 0.6426, 'grad_norm': 2.7922894954681396, 'learning_rate': 3.480113636363637e-05, 'epoch': 0.14}
{'loss': 0.6754, 'grad_norm': 2.493400812149048, 'learning_rate': 3.497869318181818e-05, 'epoch': 0.14}
{'loss': 0.7679, 'grad_norm': 2.501452684402466, 'learning_rate': 3.5156250000000004e-05, 'epoch': 0.14}
{'loss': 0.6796, 'grad_norm': 1.9916032552719116, 'learning_rate': 3.533380681818182e-05, 'epoch': 0.14}
{'loss': 0.7372, 'grad_norm': 2.8250327110290527, 'learning_rate': 3.5511363636363635e-05, 'epoch': 0.14}
{'loss': 0.6024, 'grad_norm': 2.001770496368408, 'learning_rate': 3.568892045454546e-05, 'epoch': 0.14}
{'loss': 0.7309, 'grad_norm': 2.6404354572296143, 'learning_rate': 3.586647727272727e-05, 'epoch': 0.14}
{'loss': 0.669, 'grad_norm': 2.1170194149017334, 'learning_rate': 3.604403409090909e-05, 'epoch': 0.14}
{'loss': 0.5964, 'grad_norm': 2.2646031379699707, 'learning_rate': 3.6221590909090916e-05, 'epoch': 0.14}
{'loss': 0.6991, 'grad_norm': 2.2643449306488037, 'learning_rate': 3.639914772727273e-05, 'epoch': 0.15}
{'loss': 0.6198, 'grad_norm': 2.9356167316436768, 'learning_rate': 3.6576704545454547e-05, 'epoch': 0.15}
{'loss': 0.6227, 'grad_norm': 2.525855541229248, 'learning_rate': 3.675426136363637e-05, 'epoch': 0.15}
{'loss': 0.6894, 'grad_norm': 2.20413875579834, 'learning_rate': 3.6931818181818184e-05, 'epoch': 0.15}
{'loss': 0.6129, 'grad_norm': 2.3887856006622314, 'learning_rate': 3.7109375e-05, 'epoch': 0.15}
{'loss': 0.6822, 'grad_norm': 2.536863327026367, 'learning_rate': 3.728693181818182e-05, 'epoch': 0.15}
{'loss': 0.7274, 'grad_norm': 2.2520580291748047, 'learning_rate': 3.7464488636363636e-05, 'epoch': 0.15}
{'loss': 0.6633, 'grad_norm': 2.229968547821045, 'learning_rate': 3.764204545454545e-05, 'epoch': 0.15}
{'loss': 0.6394, 'grad_norm': 2.9116907119750977, 'learning_rate': 3.7819602272727274e-05, 'epoch': 0.15}
{'loss': 0.609, 'grad_norm': 2.371687412261963, 'learning_rate': 3.799715909090909e-05, 'epoch': 0.15}
{'loss': 0.6497, 'grad_norm': 2.0616064071655273, 'learning_rate': 3.817471590909091e-05, 'epoch': 0.15}
{'loss': 0.7297, 'grad_norm': 2.278689384460449, 'learning_rate': 3.835227272727273e-05, 'epoch': 0.15}
{'loss': 0.6708, 'grad_norm': 1.8096835613250732, 'learning_rate': 3.852982954545455e-05, 'epoch': 0.15}
{'loss': 0.7196, 'grad_norm': 2.170142650604248, 'learning_rate': 3.8707386363636364e-05, 'epoch': 0.15}
{'loss': 0.6821, 'grad_norm': 2.6171507835388184, 'learning_rate': 3.8884943181818186e-05, 'epoch': 0.16}
{'loss': 0.796, 'grad_norm': 2.6306636333465576, 'learning_rate': 3.90625e-05, 'epoch': 0.16}
